line_number,spoken_line_cue,phonics_performance_cue,script_or_sound,current_recording_location_and_filename,new_recording_location_and_filename,recording_type,letter,recording_notes,lookup_key,recording_id,current_duration_seconds,current_recording_url
090,Line zero nine zero.,,Good matching!,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3ccd358740c14ac5.wav,,feelings,,,good matching,3ccd358740c14ac5,0.686,https://kpopboom.party/little-patterns/assets/voice/3ccd358740c14ac5.wav
091,Line zero nine one.,,Happy,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\489f719cadf91909.wav,,feelings,,,happy,489f719cadf91909,0.474,https://kpopboom.party/little-patterns/assets/voice/489f719cadf91909.wav
092,Line zero nine two.,,Hello! I'm Nook. Let's play.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cd845c4b46d3d15f.wav,,prompt or feedback,,,hello! i'm nook. let's play,cd845c4b46d3d15f,1.749,https://kpopboom.party/little-patterns/assets/voice/cd845c4b46d3d15f.wav
093,Line zero nine three.,,HOT,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7f5d1618e7d28cc7.wav,,word,,,hot,7f5d1618e7d28cc7,0.506,https://kpopboom.party/little-patterns/assets/voice/7f5d1618e7d28cc7.wav
094,Line zero nine four.,,Jo is angry.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4bfcce5191476332.wav,,feelings,,,jo is angry,4bfcce5191476332,0.996,https://kpopboom.party/little-patterns/assets/voice/4bfcce5191476332.wav
095,Line zero nine five.,,Jo is calm.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\1a9c139ee58d17d9.wav,,feelings,,,jo is calm,1a9c139ee58d17d9,0.97,https://kpopboom.party/little-patterns/assets/voice/1a9c139ee58d17d9.wav
096,Line zero nine six.,,Jo is disappointed.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6b561d636783f762.wav,,feelings,,,jo is disappointed,6b561d636783f762,1.317,https://kpopboom.party/little-patterns/assets/voice/6b561d636783f762.wav
097,Line zero nine seven.,,Jo is excited.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9d744a359e75e1fa.wav,,feelings,,,jo is excited,9d744a359e75e1fa,1.176,https://kpopboom.party/little-patterns/assets/voice/9d744a359e75e1fa.wav
098,Line zero nine eight.,,Jo is frustrated.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\388e35aa22c39283.wav,,feelings,,,jo is frustrated,388e35aa22c39283,1.272,https://kpopboom.party/little-patterns/assets/voice/388e35aa22c39283.wav
099,Line zero nine nine.,,"Jo is getting ready for a picnic. Jo says, I feel excited.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cc37a22e9ad43be4.wav,,feelings,,,"jo is getting ready for a picnic. jo says, i feel excited",cc37a22e9ad43be4,4.012,https://kpopboom.party/little-patterns/assets/voice/cc37a22e9ad43be4.wav
100,Line one zero zero.,,Jo is happy.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\676197551db413fa.wav,,feelings,,,jo is happy,676197551db413fa,0.988,https://kpopboom.party/little-patterns/assets/voice/676197551db413fa.wav
101,Line one zero one.,,Jo is proud.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\531d5777b76e04ac.wav,,feelings,,,jo is proud,531d5777b76e04ac,1.057,https://kpopboom.party/little-patterns/assets/voice/531d5777b76e04ac.wav
102,Line one zero two.,,"Jo is reading in a cosy chair. Jo says, I feel calm.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\31900d6c55350275.wav,,feelings,,,"jo is reading in a cosy chair. jo says, i feel calm",31900d6c55350275,3.554,https://kpopboom.party/little-patterns/assets/voice/31900d6c55350275.wav
103,Line one zero three.,,Jo is sad.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d39b7c58627ba2fa.wav,,feelings,,,jo is sad,d39b7c58627ba2fa,1.027,https://kpopboom.party/little-patterns/assets/voice/d39b7c58627ba2fa.wav
104,Line one zero four.,,Jo is surprised.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fa4c076f8f17b32e.wav,,feelings,,,jo is surprised,fa4c076f8f17b32e,1.224,https://kpopboom.party/little-patterns/assets/voice/fa4c076f8f17b32e.wav
105,Line one zero five.,,Jo is worried.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9d4df0cd61a95ad3.wav,,feelings,,,jo is worried,9d4df0cd61a95ad3,1.079,https://kpopboom.party/little-patterns/assets/voice/9d4df0cd61a95ad3.wav
106,Line one zero six.,,"Jo says, I feel calm.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\82dae4d572fdb1a1.wav,,feelings,,,"jo says, i feel calm",82dae4d572fdb1a1,1.715,https://kpopboom.party/little-patterns/assets/voice/82dae4d572fdb1a1.wav
107,Line one zero seven.,,"Jo says, I feel disappointed.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\64282c0b85b36b1e.wav,,feelings,,,"jo says, i feel disappointed",64282c0b85b36b1e,1.942,https://kpopboom.party/little-patterns/assets/voice/64282c0b85b36b1e.wav
108,Line one zero eight.,,"Jo says, I feel excited.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\65e6d5b178bcf5f5.wav,,feelings,,,"jo says, i feel excited",65e6d5b178bcf5f5,1.982,https://kpopboom.party/little-patterns/assets/voice/65e6d5b178bcf5f5.wav
109,Line one zero nine.,,"Jo says, I feel sad.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\70b9b960c30ee972.wav,,feelings,,,"jo says, i feel sad",70b9b960c30ee972,1.751,https://kpopboom.party/little-patterns/assets/voice/70b9b960c30ee972.wav
110,Line one one zero.,,"Jo says, I feel surprised.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\652b99639fd8bd6c.wav,,feelings,,,"jo says, i feel surprised",652b99639fd8bd6c,2.063,https://kpopboom.party/little-patterns/assets/voice/652b99639fd8bd6c.wav
111,Line one one one.,,"Jo sees a new shoot in the pot. Jo says, I feel surprised.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ecace914edf4df77.wav,,feelings,,,"jo sees a new shoot in the pot. jo says, i feel surprised",ecace914edf4df77,3.98,https://kpopboom.party/little-patterns/assets/voice/ecace914edf4df77.wav
112,Line one one two.,,"Jo wanted blue paint. The pot is empty. Jo says, I feel disappointed.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ad794dd9bf4dadc8.wav,,feelings,,,"jo wanted blue paint. the pot is empty. jo says, i feel disappointed",ad794dd9bf4dadc8,4.598,https://kpopboom.party/little-patterns/assets/voice/ad794dd9bf4dadc8.wav
113,Line one one three.,,"Jo's favourite song has ended. Jo says, I feel sad.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5a15f27b58aed77a.wav,,feelings,,,"jo's favourite song has ended. jo says, i feel sad",5a15f27b58aed77a,3.512,https://kpopboom.party/little-patterns/assets/voice/5a15f27b58aed77a.wav
114,Line one one four.,,JUMP,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6bdaf554e42029bd.wav,,word,,,jump,6bdaf554e42029bd,0.403,https://kpopboom.party/little-patterns/assets/voice/6bdaf554e42029bd.wav
115,Line one one five.,,LOUD,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\db1a60bbff220d09.wav,,word,,,loud,db1a60bbff220d09,0.654,https://kpopboom.party/little-patterns/assets/voice/db1a60bbff220d09.wav
116,Line one one six.,,Lovely counting.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\66768c7c98a9998e.wav,,prompt or feedback,,,lovely counting,66768c7c98a9998e,1.004,https://kpopboom.party/little-patterns/assets/voice/66768c7c98a9998e.wav
117,Line one one seven.,,MOON,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9e78b43ea00edcac.wav,,word,,,moon,9e78b43ea00edcac,0.495,https://kpopboom.party/little-patterns/assets/voice/9e78b43ea00edcac.wav
118,Line one one eight.,,NINE,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\edcd8e701a2df0cd.wav,,number,,,nine,edcd8e701a2df0cd,0.571,https://kpopboom.party/little-patterns/assets/voice/edcd8e701a2df0cd.wav
119,Line one one nine.,,NINETEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cde4e100efd26f5b.wav,,number,,,nineteen,cde4e100efd26f5b,0.726,https://kpopboom.party/little-patterns/assets/voice/cde4e100efd26f5b.wav
120,Line one two zero.,,NINETY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\521c74a4d5824aba.wav,,number,,,ninety,521c74a4d5824aba,0.617,https://kpopboom.party/little-patterns/assets/voice/521c74a4d5824aba.wav
121,Line one two one.,,Nook eats an APPLE.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4cbe16d017ce61b6.wav,,complete sentence,,,nook eats an apple,4cbe16d017ce61b6,1.008,https://kpopboom.party/little-patterns/assets/voice/4cbe16d017ce61b6.wav
122,Line one two two.,,Nook eats an blank.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4570116a308e8a37.wav,,sentence with blank,,Say the word blank aloud.,nook eats an blank,4570116a308e8a37,1.15,https://kpopboom.party/little-patterns/assets/voice/4570116a308e8a37.wav
123,Line one two three.,,Nook has a BALL.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\486982f46b8ca8c1.wav,,complete sentence,,,nook has a ball,486982f46b8ca8c1,0.913,https://kpopboom.party/little-patterns/assets/voice/486982f46b8ca8c1.wav
124,Line one two four.,,Nook has a blank.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ecdd73d4e551aa04.wav,,sentence with blank,,Say the word blank aloud.,nook has a blank,ecdd73d4e551aa04,0.951,https://kpopboom.party/little-patterns/assets/voice/ecdd73d4e551aa04.wav
125,Line one two five.,,Nook has a soft BALL.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\85b7de6b48557ac4.wav,,complete sentence,,,nook has a soft ball,85b7de6b48557ac4,1.36,https://kpopboom.party/little-patterns/assets/voice/85b7de6b48557ac4.wav
126,Line one two six.,,Nook has a soft blank.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\37552dcec6b75fab.wav,,sentence with blank,,Say the word blank aloud.,nook has a soft blank,37552dcec6b75fab,1.507,https://kpopboom.party/little-patterns/assets/voice/37552dcec6b75fab.wav
127,Line one two seven.,,Not sure,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3a7ef1f377c8efdc.wav,,feelings,,,not sure,3a7ef1f377c8efdc,0.692,https://kpopboom.party/little-patterns/assets/voice/3a7ef1f377c8efdc.wav
128,Line one two eight.,,ONE,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7692c3ad3540bb80.wav,,number,,,one,7692c3ad3540bb80,0.464,https://kpopboom.party/little-patterns/assets/voice/7692c3ad3540bb80.wav
129,Line one two nine.,,ONE HUNDRED,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a86a6a017586300c.wav,,number,,,one hundred,a86a6a017586300c,0.804,https://kpopboom.party/little-patterns/assets/voice/a86a6a017586300c.wav
130,Line one three zero.,,oval,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3fb847f1d0c26c90.wav,,word or reusable phrase,,,oval,3fb847f1d0c26c90,0.509,https://kpopboom.party/little-patterns/assets/voice/3fb847f1d0c26c90.wav
131,Line one three one.,,plus,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\383ef36928344f56.wav,,word or reusable phrase,,,plus,383ef36928344f56,0.531,https://kpopboom.party/little-patterns/assets/voice/383ef36928344f56.wav
132,Line one three two.,,Proud,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d069c85283b98c2c.wav,,feelings,,,proud,d069c85283b98c2c,0.59,https://kpopboom.party/little-patterns/assets/voice/d069c85283b98c2c.wav
133,Line one three three.,,READ,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3316348dbadfb7b1.wav,,word,,Present-tense verb: pronounce reed.,read,3316348dbadfb7b1,0.567,https://kpopboom.party/little-patterns/assets/voice/3316348dbadfb7b1.wav
134,Line one three four.,,"Robin hears a favourite song. Robin says, I feel excited.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\67f86f50da48fb87.wav,,feelings,,,"robin hears a favourite song. robin says, i feel excited",67f86f50da48fb87,3.574,https://kpopboom.party/little-patterns/assets/voice/67f86f50da48fb87.wav
135,Line one three five.,,Robin is angry.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\667d5cb941c1f7af.wav,,feelings,,,robin is angry,667d5cb941c1f7af,1.141,https://kpopboom.party/little-patterns/assets/voice/667d5cb941c1f7af.wav
136,Line one three six.,,Robin is calm.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f0ce2d3cacc54c80.wav,,feelings,,,robin is calm,f0ce2d3cacc54c80,1.076,https://kpopboom.party/little-patterns/assets/voice/f0ce2d3cacc54c80.wav
137,Line one three seven.,,Robin is disappointed.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\05e3027e50ed9b15.wav,,feelings,,,robin is disappointed,05e3027e50ed9b15,1.369,https://kpopboom.party/little-patterns/assets/voice/05e3027e50ed9b15.wav
138,Line one three eight.,,Robin is excited.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\91f59280174428aa.wav,,feelings,,,robin is excited,91f59280174428aa,1.293,https://kpopboom.party/little-patterns/assets/voice/91f59280174428aa.wav
139,Line one three nine.,,Robin is frustrated.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d3e665658900ea76.wav,,feelings,,,robin is frustrated,d3e665658900ea76,1.331,https://kpopboom.party/little-patterns/assets/voice/d3e665658900ea76.wav
140,Line one four zero.,,Robin is happy.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2d82e2e778876076.wav,,feelings,,,robin is happy,2d82e2e778876076,1.013,https://kpopboom.party/little-patterns/assets/voice/2d82e2e778876076.wav
141,Line one four one.,,Robin is proud.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\30d14668fdd70833.wav,,feelings,,,robin is proud,30d14668fdd70833,1.192,https://kpopboom.party/little-patterns/assets/voice/30d14668fdd70833.wav
142,Line one four two.,,Robin is sad.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f894e48204fdb5ab.wav,,feelings,,,robin is sad,f894e48204fdb5ab,1.069,https://kpopboom.party/little-patterns/assets/voice/f894e48204fdb5ab.wav
143,Line one four three.,,Robin is surprised.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\374e5cc7332f9db8.wav,,feelings,,,robin is surprised,374e5cc7332f9db8,1.272,https://kpopboom.party/little-patterns/assets/voice/374e5cc7332f9db8.wav
144,Line one four four.,,Robin is worried.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a32bf3058d011186.wav,,feelings,,,robin is worried,a32bf3058d011186,1.23,https://kpopboom.party/little-patterns/assets/voice/a32bf3058d011186.wav
145,Line one four five.,,"Robin says, I feel angry.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\45c1693d84f604ed.wav,,feelings,,,"robin says, i feel angry",45c1693d84f604ed,1.726,https://kpopboom.party/little-patterns/assets/voice/45c1693d84f604ed.wav
146,Line one four six.,,"Robin says, I feel disappointed.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6444c6de3923ec8d.wav,,feelings,,,"robin says, i feel disappointed",6444c6de3923ec8d,2.121,https://kpopboom.party/little-patterns/assets/voice/6444c6de3923ec8d.wav
147,Line one four seven.,,"Robin says, I feel excited.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aa3cd5efaf164303.wav,,feelings,,,"robin says, i feel excited",aa3cd5efaf164303,1.812,https://kpopboom.party/little-patterns/assets/voice/aa3cd5efaf164303.wav
148,Line one four eight.,,"Robin says, I feel sad.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d3929096ed791a02.wav,,feelings,,,"robin says, i feel sad",d3929096ed791a02,1.664,https://kpopboom.party/little-patterns/assets/voice/d3929096ed791a02.wav
149,Line one four nine.,,"Robin says, I feel surprised.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\264d28a8075bc5d5.wav,,feelings,,,"robin says, i feel surprised",264d28a8075bc5d5,1.953,https://kpopboom.party/little-patterns/assets/voice/264d28a8075bc5d5.wav
150,Line one five zero.,,"Robin wanted the swings. They are closed today. Robin says, I feel disappointed.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\491f3d36109b835c.wav,,feelings,,,"robin wanted the swings. they are closed today. robin says, i feel disappointed",491f3d36109b835c,4.381,https://kpopboom.party/little-patterns/assets/voice/491f3d36109b835c.wav
151,Line one five one.,,"Robin wanted to play outside. It is raining. Robin says, I feel sad.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\19418ad4301e202b.wav,,feelings,,,"robin wanted to play outside. it is raining. robin says, i feel sad",19418ad4301e202b,4.202,https://kpopboom.party/little-patterns/assets/voice/19418ad4301e202b.wav
152,Line one five two.,,"Robin's zip is stuck. Robin says, I feel angry.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e8d749e041dcc658.wav,,feelings,,,"robin's zip is stuck. robin says, i feel angry",e8d749e041dcc658,3.317,https://kpopboom.party/little-patterns/assets/voice/e8d749e041dcc658.wav
153,Line one five three.,,RUN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\acba25512100f80b.wav,,word,,,run,acba25512100f80b,0.472,https://kpopboom.party/little-patterns/assets/voice/acba25512100f80b.wav
154,Line one five four.,,Sad,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\45c9a6614fccd4f9.wav,,feelings,,,sad,45c9a6614fccd4f9,0.492,https://kpopboom.party/little-patterns/assets/voice/45c9a6614fccd4f9.wav
155,Line one five five.,,"Sam has finished a drawing. Sam says, I feel proud.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3f014844e22f1e93.wav,,feelings,,,"sam has finished a drawing. sam says, i feel proud",3f014844e22f1e93,3.25,https://kpopboom.party/little-patterns/assets/voice/3f014844e22f1e93.wav
156,Line one five six.,,Sam is angry.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\bbc4813165548f53.wav,,feelings,,,sam is angry,bbc4813165548f53,1.045,https://kpopboom.party/little-patterns/assets/voice/bbc4813165548f53.wav
157,Line one five seven.,,Sam is calm.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\35cbd257cc94b863.wav,,feelings,,,sam is calm,35cbd257cc94b863,0.948,https://kpopboom.party/little-patterns/assets/voice/35cbd257cc94b863.wav
158,Line one five eight.,,Sam is disappointed.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\637b6e98b8baf40e.wav,,feelings,,,sam is disappointed,637b6e98b8baf40e,1.232,https://kpopboom.party/little-patterns/assets/voice/637b6e98b8baf40e.wav
159,Line one five nine.,,Sam is excited.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6f1656345bb70dd7.wav,,feelings,,,sam is excited,6f1656345bb70dd7,1.189,https://kpopboom.party/little-patterns/assets/voice/6f1656345bb70dd7.wav
160,Line one six zero.,,Sam is frustrated.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\93ac893726aff5a0.wav,,feelings,,,sam is frustrated,93ac893726aff5a0,1.237,https://kpopboom.party/little-patterns/assets/voice/93ac893726aff5a0.wav
161,Line one six one.,,Sam is happy.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6c92975a4fcb9ab5.wav,,feelings,,,sam is happy,6c92975a4fcb9ab5,0.884,https://kpopboom.party/little-patterns/assets/voice/6c92975a4fcb9ab5.wav
162,Line one six two.,,"Sam is playing with bubbles. Sam says, I feel happy.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5e6821859f42a6a2.wav,,feelings,,,"sam is playing with bubbles. sam says, i feel happy",5e6821859f42a6a2,2.854,https://kpopboom.party/little-patterns/assets/voice/5e6821859f42a6a2.wav
163,Line one six three.,,Sam is proud.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c1cce15061263998.wav,,feelings,,,sam is proud,c1cce15061263998,1.01,https://kpopboom.party/little-patterns/assets/voice/c1cce15061263998.wav
164,Line one six four.,,"Sam is resting under a tree. Sam says, I feel calm.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b680b1dc7ab05a87.wav,,feelings,,,"sam is resting under a tree. sam says, i feel calm",b680b1dc7ab05a87,3.193,https://kpopboom.party/little-patterns/assets/voice/b680b1dc7ab05a87.wav
165,Line one six five.,,Sam is sad.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3c5401d7839c2c08.wav,,feelings,,,sam is sad,3c5401d7839c2c08,0.91,https://kpopboom.party/little-patterns/assets/voice/3c5401d7839c2c08.wav
166,Line one six six.,,Sam is surprised.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d8fd6dd0338b4274.wav,,feelings,,,sam is surprised,d8fd6dd0338b4274,1.239,https://kpopboom.party/little-patterns/assets/voice/d8fd6dd0338b4274.wav
167,Line one six seven.,,"Sam is trying a new swimming class. Sam says, I feel worried.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9c99d52fce0e0658.wav,,feelings,,,"sam is trying a new swimming class. sam says, i feel worried",9c99d52fce0e0658,3.564,https://kpopboom.party/little-patterns/assets/voice/9c99d52fce0e0658.wav
168,Line one six eight.,,"Sam is trying to thread a bead. Sam says, I feel frustrated.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e02a3446ebb3a602.wav,,feelings,,,"sam is trying to thread a bead. sam says, i feel frustrated",e02a3446ebb3a602,3.478,https://kpopboom.party/little-patterns/assets/voice/e02a3446ebb3a602.wav
169,Line one six nine.,,Sam is worried.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5151010f6f40f995.wav,,feelings,,,sam is worried,5151010f6f40f995,1.027,https://kpopboom.party/little-patterns/assets/voice/5151010f6f40f995.wav
170,Line one seven zero.,,"Sam says, I feel calm.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2f3dbf096efff74a.wav,,feelings,,,"sam says, i feel calm",2f3dbf096efff74a,1.537,https://kpopboom.party/little-patterns/assets/voice/2f3dbf096efff74a.wav
171,Line one seven one.,,"Sam says, I feel frustrated.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\44411e4dbd549564.wav,,feelings,,,"sam says, i feel frustrated",44411e4dbd549564,2.143,https://kpopboom.party/little-patterns/assets/voice/44411e4dbd549564.wav
172,Line one seven two.,,"Sam says, I feel happy.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\91cc9fb284ef9e3b.wav,,feelings,,,"sam says, i feel happy",91cc9fb284ef9e3b,1.666,https://kpopboom.party/little-patterns/assets/voice/91cc9fb284ef9e3b.wav
173,Line one seven three.,,"Sam says, I feel proud.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0be58b1f5271ce05.wav,,feelings,,,"sam says, i feel proud",0be58b1f5271ce05,1.512,https://kpopboom.party/little-patterns/assets/voice/0be58b1f5271ce05.wav
174,Line one seven four.,,"Sam says, I feel worried.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a2cf35e2799d23ac.wav,,feelings,,,"sam says, i feel worried",a2cf35e2799d23ac,1.824,https://kpopboom.party/little-patterns/assets/voice/a2cf35e2799d23ac.wav
175,Line one seven five.,,SEVEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3ba8d02b16fd2a01.wav,,number,,,seven,3ba8d02b16fd2a01,0.533,https://kpopboom.party/little-patterns/assets/voice/3ba8d02b16fd2a01.wav
176,Line one seven six.,,SEVENTEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2c5abdef2a0eacb4.wav,,number,,,seventeen,2c5abdef2a0eacb4,0.718,https://kpopboom.party/little-patterns/assets/voice/2c5abdef2a0eacb4.wav
177,Line one seven seven.,,SEVENTY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ab0e4b1a7839571e.wav,,number,,,seventy,ab0e4b1a7839571e,0.613,https://kpopboom.party/little-patterns/assets/voice/ab0e4b1a7839571e.wav
178,Line one seven eight.,,SING,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6342d0648a746457.wav,,word,,,sing,6342d0648a746457,0.429,https://kpopboom.party/little-patterns/assets/voice/6342d0648a746457.wav
179,Line one seven nine.,,SIX,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\44778d82365e4af6.wav,,number,,,six,44778d82365e4af6,0.439,https://kpopboom.party/little-patterns/assets/voice/44778d82365e4af6.wav
180,Line one eight zero.,,SIXTEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f2ce341fdaa67727.wav,,number,,,sixteen,f2ce341fdaa67727,0.677,https://kpopboom.party/little-patterns/assets/voice/f2ce341fdaa67727.wav
181,Line one eight one.,,SIXTY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\df41164e151227b3.wav,,number,,,sixty,df41164e151227b3,0.573,https://kpopboom.party/little-patterns/assets/voice/df41164e151227b3.wav
182,Line one eight two.,,SOFT,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f5f445528f4a0134.wav,,word,,,soft,f5f445528f4a0134,0.623,https://kpopboom.party/little-patterns/assets/voice/f5f445528f4a0134.wav
183,Line one eight three.,,Something else,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f41f3fa625ff120d.wav,,feelings,,,something else,f41f3fa625ff120d,0.802,https://kpopboom.party/little-patterns/assets/voice/f41f3fa625ff120d.wav
184,Line one eight four.,,Spot on!,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\701039022100b133.wav,,prompt or feedback,,,spot on,701039022100b133,0.532,https://kpopboom.party/little-patterns/assets/voice/701039022100b133.wav
185,Line one eight five.,,square,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4ba3e8e3765f2970.wav,,word or reusable phrase,,,square,4ba3e8e3765f2970,0.497,https://kpopboom.party/little-patterns/assets/voice/4ba3e8e3765f2970.wav
186,Line one eight six.,,SUN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\27756f050e14a1cb.wav,,word,,,sun,27756f050e14a1cb,0.471,https://kpopboom.party/little-patterns/assets/voice/27756f050e14a1cb.wav
187,Line one eight seven.,,Surprised,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0f471c347284f2de.wav,,feelings,,,surprised,0f471c347284f2de,0.759,https://kpopboom.party/little-patterns/assets/voice/0f471c347284f2de.wav
188,Line one eight eight.,,SWIM,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d493f8869139bac7.wav,,word,,,swim,d493f8869139bac7,0.386,https://kpopboom.party/little-patterns/assets/voice/d493f8869139bac7.wav
189,Line one eight nine.,,take away,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\1ea6dbf5abafb168.wav,,word or reusable phrase,,,take away,1ea6dbf5abafb168,0.727,https://kpopboom.party/little-patterns/assets/voice/1ea6dbf5abafb168.wav
190,Line one nine zero.,,TALL,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\241daf2e753a6a2f.wav,,word,,,tall,241daf2e753a6a2f,0.47,https://kpopboom.party/little-patterns/assets/voice/241daf2e753a6a2f.wav
